,name,date,location,star_ratings,reviews
180,Eliza B.,4/06/2013,"Sydney, Australia",3 star rating,"When I showed up to this packed eatery, it seemed like everyone was having scrambled eggs - maybe that's what all the buzz is about??After reading reviews here, Hardware had a lot to live up to. I'm a big fan of baked goods, French cooking, and breakfast, so I set aside a morning to indulge - and on a Thursday at 10 they were packed. But unfortunately the coconut banana bread (a sliced open mini banana loaf with a carmelized banana and mascarpone inside) was really just so so - too sweet for the flavors of the bread and bananas to pop out. The things on the menu are definitely quite fancy creations, but while everything is quite visually appealing and the ingredients are fresh and interesting (figs, various cheeses, mascarpone) what I had didnt really work as a dish. They do have Padre cafe here (which is awesome), but their chai latte was weak an watery."
181,Rebecca S.,5/31/2015,"Melbourne, Australia",4 star rating,Ordered the salmon confit for brunch and it absolutely delicious! Service was decent however we were sat at a communal table and it felt a bit cramped being in the corner with not much space
182,Charlotte C.,11/23/2015,"Melbourne, Australia",5 star rating,I highly recommend baked eggs. These are my favorite. They are always perfect.
183,Nick B.,5/03/2014,"Richmond, Melbourne, Australia",4 star rating,This is a rare find in the CBD! A cafe that actually does a good breakfast and has a bit of character! The line of 20-30 people outside this small cafe on a Sunday morning suggests it's a winner and I couldn't agree more. I got in early (9am) on a Sunday and even this early had to go on a wait list to get in for a table of 2. It's was definitely worth the wait however. Me and my dining partner both had the fried eggs which come with thick cut bacon and polenta sitting on top of a delicious slice of bread. Such a simply thing but done so well. We were sat at a communal table with a young family which was really nice as we joined their conversation and they have us great suggestions on what to order. The group that sad down after them however not so friendly. The service was good (would have preferred my coffee a little quicker) with good coming out within 10 mins of ordering and coffee shortly after. The team there are really attentive and know their product well. I will keep coming back to this not so hidden gem in the CBD
184,Rachel B.,8/14/2015,"San Francisco, CA",5 star rating,"My husband found this place for us to try out for brunch, and it did not disappoint! I had the vegetarian option baked eggs, and was EXTREMELY happy. It came with a side of baguette slices to dip. So good, I would love to try and replicate at home.  Will be back again when I'm in Melbourne!"
185,Erin O.,7/29/2017,"Merrimac, Australia",5 star rating,"Got in early on a Sunday morning and walked straight to a table, excellent weekend specials- worth a trip every weekend to try the different combos. Coffee is outstanding!"
186,David H.,8/30/2012,Australia,5 star rating,"Hardware Societe is a great place to go for a Sunday morning lazy breakfast in Melbourne! It captivates with French sophistication and charm, and a high quality dining experience.If you're looking for a restaurant that's able to offer something more than the usual brunch options, with a certain je ne sais quois, then Hardware Societe is the place for you!Any restaurant worthwhile in Melbourne may involve a table wait and I've gladly waited for 20 minutes for a table at Hardware Societe. Spectacular news is that Hardware Societe are now spreading out and have taken over the building next door. The revolution is spreading!The counter is a visual feast with brightly coloured tarts and macaroons, extraordinary brown chocolate creations, crème brulee and a host of amazing French sweets. Resistance is almost impossible!All eyes are on the white uniformed rock star chefs with awesome tattoos who perform wonders in the kitchen for all to see... Each dish has amazing flair and bathed in TLC. There is a French attention to detail!Hardware Societe offers some of Melbourne's favourite dishes such as Baked eggs served in a French pan with chunks of chorizo and cheese. This is a cacophony of taste and flavour! These kinds of dishes warm the stomach and leave you with a feeling of pleasantness for hours. Oo la la! But a recent menu change means the restaurant now offers another two great Baked egg options including Merguez sausage and almond pistou as well as amazing mushrooms with crème fraiche, gruyere and sage.After a big night out you may prefer the Banana bread with caramel and crushed nougat. Or Fried brioche with nutella, strawberries and toasted hazelnuts.Even the sourdough fruit toast is sensational, served in a pretty arrangement on a wooden board with an extraordinary amount of butter. And it comes with a cute butter knife...The quality of the food is undeniable. Everything is well cooked, great flavour profiles and the freshness (including the bread) stands out.Be impressed by the communal table and chic plastic chairs. Where space is at a premium they're functional but also can be fashionable."
187,Linh D.,7/24/2012,"Melbourne, Melbourne, Australia",4 star rating,"Despite having the street name in their restaurant name, I've never actually managed to make it here until last week.The staff were friendly and put up with my ""recently returned from America where people work hardddd for the tips"" mannerisms. (I basically chat more than any normal patron would).The food was also great, I had the chicken polenta thing and an iced chocolate. The ice chocolate would probably be the second best that I've had in Melbourne, but I think they gave me extra ice cream to silence my perkiness... The polenta was excellent, and the chicken bit of it was okay but overall it was really good.I can't wait to come back and check other things on the menu."
188,David M.,10/19/2012,Australia,4 star rating,"I originally set out to dine at Manchester Press but found The Hardware Sociéte instead. I do not blame it on the fact that I did not know where I was going since I was armed not only with my trusty Samsung Galaxy S2 and Google Maps, but because I am a man and I never get lost. Perhaps I should ask Germaine Greer's opinion on that statement.What I originally thought was going to turn out to be on the scale of The European, but just closer to Southbank, turned out to be quite an interesting café on Hardware Street. I was looking forward to something rich, French and bold, like Brigitte Bardot. However what I found was a laneway café with a queue and a highly visible sign that says that they only accept cash. Knowing that there was a wait, I played Marco Polo until I found an ATM. I never carry cash as I just spend it so this relationship was already starting on a sour note.I returned to The Hardware Sociéte and the hostess was shouting my name down the laneway. It was perfect timing as I was coming back with a fistful of sweaty bank notes and I was quite hungry. The table was ready.We were seated at a communal table. I felt like poor little possessed Regan in The Exorcist when Father Karras first visited her. I really do not like waiting, not being able to pay with a credit card or communal tables for that matter. Trying to keep an open mind, I found the atmosphere to be very energetic as we were seated at a rather round classic French white table where there was enough room so you are not left to intrude into the lives of others, so it was not a big deal in the end.There was no wine list per se, but a drinks list. I really, and I mean REALLY, wanted some wine, however settled for a Kronenbourg mainly because it was so inexpensive. The peppy server informed us of the two specials, being seared tuna on a bed of potato salad, beans and poached eggs and also a brioche. Having not eaten anything substantial for about a day, I decided to order both.I was very impressed with the tuna special. The complimentary tastes, the slightly seared tuna, the colours and the presentation just really floored me as I was not expecting something so good. I really do not order many ""desserts"" since I am trying to keep my boyish figure from the bygone era of Hanson, but when I first saw and then tasted the brioche with strawberry jam and fresh cherries, my reaction was pure and utter blasphemy, just like how little Regan reacted to Father Karras. Unbelievably good and I was vocal about it. Stuff gluttony! I just wanted more and I don't mean just another cheap Kronenbourg.The service was very attentive and articulate. The ""vibe"" was pretty good and it seems like a fair amount of locals dine here. Given that the food is excellent, I thought it was great value for money and I will certainly be returning with another sweaty hand full of cash. Despite the fact that they do not take credit cards and you will most likely have to queue, the rewards are worth the inconvenience."
189,Scott M.,5/26/2012,"Melbourne, Australia",4 star rating,"My wife and I do love our weekend breakfast adventures in Melbourne, and we were ready to try somewhere new.  I took a look at the Yelposphere and there seemed to be a general consensus that Hardware Societe was worth trying.And it was.  We timed it JUST right, about a 10 minute wait, but we noticed quite a huge queue waiting to get in before the 1400 cut-off when we were finishing up.The important bits, for those of you who want just the facts:Cappuccino:  Outstanding.  Perfect temperature.  Infinitely drinkable.  Breakfast:  YUM.  We both had the same thing, the baked eggs with chorizo, Roma tomatoes, and other yummy stuff.  As my wife put it: ""I was sad when I ate my last piece of chorizo""...I also went so far as to trying the Syphon coffee.  Never had one of those before, but have to say that it, too, was superb.  The baristas look serious and clearly take their coffee very seriously.  If we had to think of a downside, it would be in only two areas:1)  A sense of being rushed.  We had JUST sat down and someone appeared telling us about the specials.  No more than a minute later and they were back asking for our order (having never been here before, we hadn't even finished reading the menu).2)  Seating.  It's popular, very popular, and if you don't like ""family style"" sharing at a big table, you may find yourself eating amongst strangers.  I'm not a fan of this, but, at least my wife and I got the corner and we had an illusion of privacy...but, not much.The food was fantastic, the staff generally very attentive, and I think that if you can time it just right so you don't feel squished in, it could really carry off the French cafe feel that they're clearly aiming for.Oh, be sure to bring cash - the menu said no credit and no EFTPOS...glad we happened to have just the right amount."
190,Laur H.,9/19/2012,Australia,4 star rating,"If you are after a good coffee in Melbourne, Lygon St, Degraves Laneway or Hardware Lane are good places to start.Last year I worked next to this place for 12 months, and I am pretty sure I kept their business afloat by buying coffee. The staff here are incredibly friendly, despite the queue out the door at all times, and your coffee is served with a tiny donut on the lid, just because. What more is there to say?"
191,Hugh M.,4/19/2012,"Northcote, Australia",4 star rating,"Well, well. It's definitely been a while since i was last herebut i remember being over joyed to visit. The greatest thinghere is that you don't have to play an urban sports of sorts byducking weaving, dodging, diving, ignoring, and running fromthe countless individuals whom accost you to dine in atwhich ever establishment they happen to be awkwardly postedoutside of.Long queues provide good discussion time, and come winterthis place is very cosy. well executed wines (from memory)and some great food too. Good coffee, and best of all theyhave that awesome sugar that looks like breadcrumbs-gosh it good. Its uber popular because it just focuses on whatit is- a eatery, doing food well, and design, and everything elseIts biggest saving grace is that there is the lack of peopletrying to convince you to dine in- it's simply not needed. I have been numerous times, alas not lately"
192,Hhh S.,3/05/2017,"Melbourne, Australia",3 star rating,"food was ok, was expecting a higher standard as this is a hyped up place. very long wait line and my friends dish was absolutely disgusting. I'll go elsewhere for a more appetising meal."
193,Olga R.,6/28/2014,"Stanford, CA",5 star rating,"Baked eggs in a mini pot - have never had anything of the sort!  Absolutely divine.  Bread and coffee.  Trendy location, great service."
194,Suzanne M.,3/15/2015,"Manhattan Beach, CA",5 star rating,"Excellent and creative dishes.  Went three times for breakfast, having the rice pudding, baked eggs with cauliflower and the mushroom / herb saute.  All were fabulous"
195,Andrew H.,2/14/2012,"Boulder, CO",5 star rating,"I was enjoying walking through the lanes and stumbled upon this absolute gem.  Fantastic offerings for brunch.  Great gluten free options.  I had the special for brunch which was the trout confit.  Perfectly cooked.They are fantastic at what they do and care quite a bit, a joy!"
196,Meg C.,2/27/2017,"Melbourne, Australia",4 star rating,best brunch in CBD.however hope the portion is bigger ( maybe just me eating much :p )
197,Paul W.,11/19/2013,"Brisbane, Australia",5 star rating,"We had to try the Hardware Societe while in Melbourne. As it was a Sunday morning there was a line of people waiting outside. We were told our wait would be 25mins which turned out to be very accurate. The food, drinks and service were all excellent! I had the signature Chorizo which is well worth a try. Definitely will come back even if the wait is half an hour or more. It's worth the wait!!!"
198,Wendy N.,12/18/2011,"Melbourne, Australia",4 star rating,"I've only been here for lunch, but I definitely liked what I saw - good food made from obviously quality ingredients, the cute decor, friendly staff, and good coffee. The lunch menu only had very limited vegetarian options both times I went - but the quiche was so good the first time around that I was more than happy to have that again.I will definitely return to try the brunch that everyone raves on about! I just have to wake up early enough to avoid the inevitable long wait...."
199,Rose K.,2/06/2015,"Sydney, Australia",4 star rating,"The Salmon, duck and chicken was absolutely delicious. The service was good too. Highly recommended."
200,Meeko P.,3/13/2012,"Bay Village, OH",5 star rating,"Tiny place tucked away down a small street. Great breakfast and service. I had the Chorizo, Peas and Eggs casserole, served with toasted, sliced, sourdough baguette drizzled with olive oil. Simply one of the best breakfasts I have ever had. Other menu Items look great, made it hard to decide, Can't wait to go back."
201,Zag Z.,8/03/2014,"East Brisbane, Australia",2 star rating,Breakfast a but to much for me- too much brioche /chai sauce/ sugary donuts!! Busy as well. Staff were lovely. Coffee ok
202,Lynn M.,8/06/2013,Australia,5 star rating,"I want to roll up in a doona made from bread and eggs from The Hardware Societe. I went out on a limb and took 9 girlfriends here after a pretty serious hen night purely based on yelps reviews. My heart began to beat pretty fast when I turned the corner and saw what seemed to be a large crowd of people waiting for a table for breakfast. When my crew turned around and prepared to give me the 'I will kill you' stare I started to worry.The lovely lady at front of house took our details, gave us an honest waiting time and kindly let us all order take-away coffees to keep us warm whilst we waited.We were all seated withing 30 minutes together and ordered more coffee. I couldn't resist when I saw the varieties of drip and pour coffees that they offer.Their breakfast menu is small but definitely not simple. They have a variety of sweet and savory options including corn breads, baked eggs and many other mushroom and eggs deliciousness.Do not panic when you see a line outside, consider it a good thing!We left stuffed and energized and I felt safe once more among my hungover buddies."
203,Wes K.,3/26/2016,"Austin, TX",4 star rating,"Excellently chic, pleasant, and small, ish. Had the baked eggs with chorizo and spinach: superb. In a neat little alley smack dab in the middle of the CBD. Had a really nice coffee as well. Would love to return and bring friends."
204,Art F.,8/31/2016,"Richmond, Australia",4 star rating,"Prepare to wait. Pretty nice food and nice ambiance though. But the queue out the door, even at non peak hours mid week, and it's still a long wait. They can't help being popular though. Good for them."
205,Emilie P.,7/07/2016,"Ville de Québec, Canada",5 star rating,"Wow wow wow! Best brekky ever! Cute place, kind people, outside tables with heaters so We could enjoy the little street and the Melbourne vibe while eating. Great coffee and aweeeesome food!"
206,Alex F.,4/12/2016,"Seattle, WA",5 star rating,Eclectic mix of French and Mexican inspired brunch. Was the highlight of our breakfasts in Melbourne with great staff to boot!
207,Kathryn B.,6/11/2013,"San Francisco, CA",5 star rating,"I thought I was eating some good food in Melbourne and then I came here.  The first sign that this was different was the long line early on a Sunday for brunch. We had seen some lines as well but nothing like this.  We left our name on the doily of the hostess, ran down the corner for a coffee, and came back to wait.  Our name was quickly called and we were sat at the bar around the kitchen.  This gave us prime viewing of all the delicious-looking fare coming out of the kitchen and some inside knowledge of the menu.  After careful consideration I ordered the fried eggs (jamn, figs, manchego, and toast) and my partner ordered the baked eggs (sausage, toast, beans). We were both immensely pleased with our orders and polished them off slowly while watching the chefs at work. The perfect mouthful of jamon, eggs, fig and manchego on toast was just such a new and wonderful experience. There was even a little jam on the toast that was like icing on the cake. My beautiful hot chocolate washed it all down perfectly.  I got one bite of my partners beans which were a spiced chickpea that paired wonderfully with his sausage.  So good. My partner loved his long black.Make the time to stand in this line and eat brunch here. I know I'll be back."
208,Allan B.,10/16/2011,"Windermere, FL",4 star rating,"Well Hardware Lane is an interesting place, to be sure. It's tiny, and feels like a street in Rome with all the barkers from the restaurants trying to convince you to try their food.Up at the far north end, there's a little place that you might easily miss since it is only open for breakfast and lunch. Go at these times though, and you'll see a small crowd formed, eagerly awaiting one of their few (8 I think) tables to open up. Coffees are spectacular here (as they are in most of Melbourne's better brekkie spots), as are the teas.  The best food, in my opinion, is the baked eggs dish with chorizo, peas and tomatos. It's almost like a rich, egg-based paella, in a little iron pot. Comes with some seriously good toast, which makes for a great 'spoon' to use in the eggs.Get there early, or fight the crowd for a table!"
209,Olivia H.,5/08/2013,"Melbourne, Australia",4 star rating,"Hardware society was a hit and miss. Maybe I had high expectations from all the great reviews but in my opinion, it is good BUT pretty overrated. The food was okayyy (but was on a good side), but anyway, its one of those restaurants that you have to try if you're in Melbourne. Advice: Come in as early as you can or you have to wait for more than 30mins.I ordered the Chorizo baked eggs and it was delish!! Just the right amount of flavor and mix. My hubbie ordered one of their sausages but it was just so-so... More mexican than french for the sausages. Great food presentation and their portion is more on the smaller side, understandable though since it's french cuisine anyways. Their coffee's not that great but their ice chocolate drink was delish! Shall order their hot chocolate next time. Their service was awesome. Waiter/waitress is really friendly.  Overall, will come back to try their lunch menus next time.BEWARE: CASH ONLY."
